id,year,month,state,tot_no_pw_reg_anc,no_early_anc_register,early_anc_register,no_anc_4_or_more,anc_4_or_more,no_pw_given_tt1,pw_tt1_given,no_pw_given_tt2,pw_tt2_given,no_pw_given_tt_booster,pw_tt_booster_given,no_pw_given_calcium,pw_calcium,no_pw_given_ifa,pw_ifa,no_pw_given_albendazole,pw_albendazole,tot_c_section_deliveries,c_section_deliveries,tot_chld_born,tot_still_birth,per_still_birth
3387,2017-2018,January,Tripura,5478,3304,60.31,3512,64.11,4008,114.12,3520,100.23,374,10.65,0,0.00,2636,75.06,147,4.19,956,22.36,4547,92,20.23
3388,2017-2018,January,Uttarakhand,21436,12496,58.29,10169,47.44,14276,140.39,12510,123.02,2641,25.97,5228,51.41,6984,68.68,892,8.77,1318,13.21,11664,103,8.83
3389,2017-2018,January,Uttar Pradesh,462459,215058,46.50,226108,48.89,336915,149.01,293443,129.78,83440,36.90,121799,53.87,379721,167.94,59992,26.53,13892,5.99,284636,3776,13.27
3390,2017-2018,January,West Bengal,129001,111973,86.80,103539,80.26,115550,111.60,106994,103.34,10934,10.56,31044,29.98,109661,105.91,80694,77.94,34735,33.15,107971,1823,16.88
3391,2017-2018,February,Andhra Pradesh,77113,61910,80.28,67163,87.10,70798,105.41,65459,97.46,6219,9.26,50456,75.12,75860,112.95,23219,34.57,18148,30.38,61953,515,8.31
3393,2017-2018,February,Arunachal Pradesh,2363,846,35.80,514,21.75,1310,254.86,805,156.61,200,38.91,442,85.99,727,141.44,246,47.86,272,19.87,1482,21,14.17
3394,2017-2018,February,Assam,60533,53376,88.18,46064,76.10,50829,110.34,41218,89.48,4899,10.64,10084,21.89,61979,134.55,13189,28.63,8811,21.17,46761,929,19.87
3395,2017-2018,February,Bihar,281897,182639,64.79,165954,58.87,157343,94.81,126441,76.19,92120,55.51,103889,62.60,169538,102.16,45530,27.44,3570,2.85,161763,1783,11.02
3396,2017-2018,February,Chandigarh,3843,2637,68.62,2217,57.69,1774,80.02,1172,52.86,428,19.31,2071,93.41,2050,92.47,1548,69.82,700,33.80,2064,42,20.35
3397,2017-2018,February,Chhattisgarh,53201,48069,90.35,49992,93.97,42828,85.67,40055,80.12,13037,26.08,40737,81.49,55415,110.85,36501,73.01,6212,16.69,37783,685,18.13
3400,2017-2018,February,Delhi,81454,28302,34.75,28069,34.46,23790,84.76,17091,60.89,3091,11.01,37674,134.22,37217,132.59,12962,46.18,5756,30.67,19566,321,16.41
3401,2017-2018,February,Goa,2098,1221,58.20,1374,65.49,954,69.43,843,61.35,204,14.85,1477,107.50,1535,111.72,355,25.84,617,43.21,1428,12,8.40
3402,2017-2018,February,Gujarat,118870,97785,82.26,87369,73.50,93004,106.45,82356,94.26,30373,34.76,109369,125.18,113130,129.49,87123,99.72,12511,15.74,83788,1022,12.20
3403,2017-2018,February,Haryana,54064,40399,74.72,35104,64.93,39945,113.79,29797,84.88,13799,39.31,30916,88.07,39608,112.83,32819,93.49,6801,19.07,37548,471,12.54
3404,2017-2018,February,Himachal Pradesh,10417,9127,87.62,6928,66.51,7412,106.99,6313,91.12,2923,42.19,6718,96.97,7685,110.93,5942,85.77,1351,23.25,6489,95,14.64
3406,2017-2018,February,Jharkhand,79958,42827,53.56,65324,81.70,64769,99.15,52453,80.30,12723,19.48,38454,58.87,61256,93.77,18806,28.79,4604,8.41,57181,608,10.63
3407,2017-2018,February,Karnataka,94183,75561,80.23,96651,102.62,82955,85.83,74084,76.65,28582,29.57,88731,91.81,107514,111.24,65017,67.27,21157,28.38,74747,874,11.69
3408,2017-2018,February,Kerala,43683,36243,82.97,39093,89.49,35492,90.79,33263,85.09,1104,2.82,11627,29.74,38595,98.73,2309,5.91,13718,41.95,32871,174,5.29
3409,2017-2018,February,Lakshadweep,100,78,78.00,95,95.00,76,80.00,59,62.11,10,10.53,96,101.05,102,107.37,22,23.16,38,47.50,78,3,38.46
3410,2017-2018,February,Madhya Pradesh,145327,94229,64.84,104559,71.95,108894,104.15,92325,88.30,30548,29.22,112568,107.66,133391,127.57,89522,85.62,9666,10.51,98209,1463,14.90
3411,2017-2018,February,Maharashtra,182649,133964,73.35,151244,82.81,120217,79.49,104827,69.31,53374,35.29,130276,86.14,155225,102.63,84085,55.60,26962,20.41,133123,1239,9.31
3412,2017-2018,February,Manipur,4581,2791,60.93,2196,47.94,2606,118.67,1809,82.38,495,22.54,739,33.65,1750,79.69,190,8.65,500,19.52,3120,10,3.21
3413,2017-2018,February,Meghalaya,10100,3411,33.77,4820,47.72,4436,92.03,3245,67.32,2317,48.07,2176,45.15,3976,82.49,1467,30.44,509,13.32,6854,129,18.82
3414,2017-2018,February,Mizoram,2168,1643,75.78,713,32.89,1334,187.10,999,140.11,571,80.08,187,26.23,392,54.98,302,42.36,273,18.56,1624,18,11.08
3415,2017-2018,February,Nagaland,2579,753,29.20,686,26.60,1307,190.52,669,97.52,227,33.09,34,4.96,260,37.90,67,9.77,215,18.25,1470,28,19.05
3416,2017-2018,February,Odisha,62966,53064,84.27,44016,69.90,55821,126.82,46072,104.67,5563,12.64,17576,39.93,47897,108.82,20713,47.06,6525,15.79,43066,1086,25.22
3417,2017-2018,February,Puducherry,7227,2821,39.03,5189,71.80,1759,33.90,1831,35.29,54,1.04,1776,34.23,1921,37.02,1170,22.55,855,34.24,2489,22,8.84
3418,2017-2018,February,Punjab,45148,35030,77.59,28547,63.23,39552,138.55,32939,115.39,2352,8.24,8271,28.97,26093,91.40,11496,40.27,9936,37.71,26945,381,14.14
3419,2017-2018,February,Rajasthan,161751,104259,64.46,54221,33.52,94995,175.20,80390,148.26,51539,95.05,65406,120.63,78305,144.42,50778,93.65,10805,11.45,95032,1566,16.48
3420,2017-2018,February,Sikkim,768,583,75.91,560,72.92,600,107.14,498,88.93,86,15.36,598,106.79,536,95.71,256,45.71,201,35.89,562,15,26.69
3421,2017-2018,February,Tamil Nadu,91100,84718,92.99,81786,89.78,78169,95.58,74079,90.58,16399,20.05,28199,34.48,81285,99.39,26800,32.77,26186,45.77,57306,495,8.64
3422,2017-2018,February,Telangana,103095,50196,48.69,66929,64.92,65293,97.56,58371,87.21,8333,12.45,82371,123.07,88273,131.89,16477,24.62,20236,45.55,48455,230,4.75
3423,2017-2018,February,Tripura,6048,3757,62.12,3405,56.30,4406,129.40,3601,105.76,347,10.19,0,0.00,2959,86.90,200,5.87,850,22.76,4006,67,16.72
3424,2017-2018,February,Uttarakhand,28527,17608,61.72,14437,50.61,21230,147.05,18610,128.90,3167,21.94,12786,88.56,6544,45.33,1145,7.93,2327,21.44,13304,155,11.65
3425,2017-2018,February,Uttar Pradesh,439672,201531,45.84,210428,47.86,319907,152.03,251566,119.55,85889,40.82,120828,57.42,429599,204.15,55020,26.15,11626,5.14,273140,3763,13.78
3426,2017-2018,February,West Bengal,136052,118664,87.22,100267,73.70,121390,121.07,101786,101.51,11378,11.35,30484,30.40,110628,110.33,80112,79.90,30214,34.73,89860,1531,17.04
3427,2017-2018,March,Andhra Pradesh,71274,56478,79.24,66626,93.48,65360,98.10,68883,103.39,5629,8.45,48069,72.15,73756,110.70,20419,30.65,16081,30.01,55613,462,8.31
3429,2017-2018,March,Arunachal Pradesh,2814,1083,38.49,631,22.42,1716,271.95,1029,163.07,460,72.90,522,82.73,820,129.95,303,48.02,286,22.14,1431,7,4.89
3430,2017-2018,March,Assam,64671,57477,88.88,48051,74.30,54617,113.66,48911,101.79,5412,11.26,12582,26.18,62813,130.72,14013,29.16,9767,22.61,47866,918,19.18
3431,2017-2018,March,Bihar,290230,189955,65.45,169567,58.43,163305,96.31,136073,80.25,95138,56.11,111075,65.51,171658,101.23,49334,29.09,3973,3.24,151173,1766,11.68
3432,2017-2018,March,Chandigarh,3841,2514,65.45,2282,59.41,1999,87.60,1244,54.51,365,15.99,2645,115.91,2296,100.61,1474,64.59,750,34.32,2158,52,24.10
3433,2017-2018,March,Chhattisgarh,55878,50240,89.91,52821,94.53,43681,82.70,41992,79.50,12882,24.39,44170,83.62,58198,110.18,36673,69.43,7339,17.61,42727,740,17.32
3436,2017-2018,March,Delhi,81378,31888,39.19,30668,37.69,26529,86.50,18828,61.39,3291,10.73,37228,121.39,38161,124.43,12336,40.22,6262,31.40,20292,342,16.85
3437,2017-2018,March,Goa,2334,1329,56.94,1486,63.67,933,62.79,927,62.38,220,14.80,1470,98.92,1541,103.70,354,23.82,652,43.01,1516,9,5.94
3438,2017-2018,March,Gujarat,121884,96638,79.29,94791,77.77,93408,98.54,86540,91.30,31555,33.29,118907,125.44,122496,129.23,97781,103.15,13099,16.65,86174,1032,11.98
3439,2017-2018,March,Haryana,54321,40130,73.88,38381,70.66,40703,106.05,34638,90.25,14234,37.09,34118,88.89,41198,107.34,34911,90.96,6657,18.77,37130,557,15.00
3440,2017-2018,March,Himachal Pradesh,9929,8621,86.83,6589,66.36,7255,110.11,6930,105.18,2968,45.04,6884,104.48,7425,112.69,5773,87.62,1386,22.40,6843,92,13.44
3442,2017-2018,March,Jharkhand,77711,41755,53.73,64274,82.71,60305,93.82,53329,82.97,12585,19.58,40287,62.68,55113,85.75,20964,32.62,4681,8.10,60439,695,11.50
3443,2017-2018,March,Karnataka,95253,75934,79.72,96534,101.34,86575,89.68,77119,79.89,28792,29.83,96082,99.53,118855,123.12,65752,68.11,22949,30.19,76513,784,10.25
3444,2017-2018,March,Kerala,45208,36598,80.95,40030,88.55,36944,92.29,33959,84.83,961,2.40,12155,30.36,34803,86.94,1850,4.62,15843,40.90,38853,170,4.38
3445,2017-2018,March,Lakshadweep,95,89,93.68,99,104.21,83,83.84,76,76.77,12,12.12,90,90.91,106,107.07,22,22.22,40,45.98,87,0,0.00
3446,2017-2018,March,Madhya Pradesh,141375,89360,63.21,103995,73.56,105547,101.49,95663,91.99,28702,27.60,108871,104.69,128563,123.62,86845,83.51,10204,10.69,100810,1504,14.92
3447,2017-2018,March,Maharashtra,191377,136948,71.56,158232,82.68,123728,78.19,110853,70.06,56023,35.41,139176,87.96,164777,104.14,89023,56.26,30059,21.96,137651,1302,9.46
3448,2017-2018,March,Manipur,4575,2899,63.37,2037,44.52,3173,155.77,2180,107.02,618,30.34,856,42.02,1889,92.73,183,8.98,556,21.72,3054,11,3.60
3449,2017-2018,March,Meghalaya,10814,4018,37.16,4543,42.01,4707,103.61,3730,82.10,2245,49.42,2363,52.01,4072,89.63,1404,30.90,587,14.32,7435,133,17.89
3450,2017-2018,March,Mizoram,1593,1177,73.89,752,47.21,1118,148.67,1101,146.41,447,59.44,83,11.04,349,46.41,123,16.36,279,18.80,1635,10,6.12
3451,2017-2018,March,Nagaland,3080,983,31.92,629,20.42,1477,234.82,819,130.21,244,38.79,141,22.42,332,52.78,65,10.33,196,15.74,1529,26,17.00
3452,2017-2018,March,Odisha,62174,52410,84.30,49460,79.55,53669,108.51,55410,112.03,5587,11.30,16577,33.52,50745,102.60,23079,46.66,8084,16.42,51016,1112,21.80
3453,2017-2018,March,Puducherry,8494,3123,36.77,6081,71.59,1893,31.13,2096,34.47,77,1.27,1952,32.10,1866,30.69,1245,20.47,1155,33.78,3397,36,10.60
3454,2017-2018,March,Punjab,45273,34867,77.01,28091,62.05,40984,145.90,39008,138.86,2327,8.28,8401,29.91,27176,96.74,11994,42.70,9860,37.85,26644,331,12.42
3455,2017-2018,March,Rajasthan,158339,99077,62.57,55656,35.15,95828,172.18,84092,151.09,49349,88.67,61113,109.80,70376,126.45,50975,91.59,14224,13.25,109625,1999,18.23
3456,2017-2018,March,Sikkim,824,654,79.37,577,70.02,630,109.19,571,98.96,69,11.96,600,103.99,635,110.05,345,59.79,220,38.87,559,14,25.04
3457,2017-2018,March,Tamil Nadu,92025,85381,92.78,82647,89.81,78131,94.54,76648,92.74,16504,19.97,30288,36.65,81480,98.59,27014,32.69,36305,47.33,76806,552,7.19
3458,2017-2018,March,Telangana,102364,50007,48.85,69204,67.61,63942,92.40,62442,90.23,10767,15.56,94787,136.97,105685,152.72,16454,23.78,22744,47.25,51764,234,4.52
3459,2017-2018,March,Tripura,6683,4484,67.10,3393,50.77,4846,142.82,4077,120.16,393,11.58,0,0.00,3290,96.96,195,5.75,873,22.15,4213,82,19.46
3460,2017-2018,March,Uttarakhand,22200,14072,63.39,12387,55.80,17104,138.08,15789,127.46,2840,22.93,7219,58.28,6240,50.38,1171,9.45,1370,11.69,13463,121,8.99
3461,2017-2018,March,Uttar Pradesh,581024,263565,45.36,250478,43.11,433334,173.00,343840,137.27,101824,40.65,148489,59.28,585057,233.58,62419,24.92,14093,5.07,328725,4280,13.02
3462,2017-2018,March,West Bengal,146937,127813,86.98,108250,73.67,132672,122.56,125185,115.64,14048,12.98,35166,32.49,122997,113.62,92660,85.60,36814,32.24,116483,1656,14.22
3463,2017-2018,All,Andhra Pradesh,830965,653802,78.68,793858,95.53,763198,96.14,758446,95.54,69270,8.73,508637,64.07,837988,105.56,227065,28.60,237642,32.24,751555,6797,9.04
3465,2017-2018,All,Arunachal Pradesh,32373,11243,34.73,8020,24.77,18941,236.17,13555,169.01,4010,50.00,6856,85.49,12563,156.65,3669,45.75,3413,20.06,18727,216,11.53
3466,2017-2018,All,Assam,689620,584521,84.76,538452,78.08,601851,111.77,566925,105.29,65122,12.09,91085,16.92,642701,119.36,114070,21.18,113087,21.46,591248,12702,21.48
3467,2017-2018,All,Bihar,3187592,1968220,61.75,1604095,50.32,1786983,111.40,1606206,100.13,1058948,66.02,686804,42.82,1638152,102.12,360938,22.50,40674,2.41,2085163,25697,12.32
3468,2017-2018,All,Chandigarh,41894,27794,66.34,30047,71.72,19951,66.40,13488,44.89,4353,14.49,28851,96.02,30292,100.82,16982,56.52,9413,32.23,28950,702,24.25
3469,2017-2018,All,Chhattisgarh,634235,567546,89.49,568999,89.71,509703,89.58,485974,85.41,149214,26.22,391376,68.78,632786,111.21,391448,68.80,75286,15.69,491628,9519,19.36
3472,2017-2018,All,Delhi,982022,325818,33.18,361594,36.82,286564,79.25,228339,63.15,39560,10.94,404702,111.92,441010,121.96,149064,41.22,75937,29.19,267828,5051,18.86
3473,2017-2018,All,Goa,24503,13558,55.33,17162,70.04,10889,63.45,9898,57.67,2000,11.65,14510,84.55,15336,89.36,4133,24.08,7722,40.90,18883,153,8.10
3474,2017-2018,All,Gujarat,1420598,1113713,78.40,1034517,72.82,1100618,106.39,1019181,98.52,344026,33.25,1304081,126.06,1344513,129.97,1025221,99.10,187314,15.54,1256711,13534,10.77
3475,2017-2018,All,Haryana,567940,405804,71.45,396385,69.79,421734,106.40,368086,92.86,148760,37.53,444393,112.11,416866,105.17,374841,94.56,83688,17.15,516722,7264,14.06
3476,2017-2018,All,Himachal Pradesh,118864,101196,85.14,59355,49.94,80834,136.19,54173,91.27,23938,40.33,54572,91.94,69201,116.59,42948,72.36,17131,21.80,87049,1193,13.70
3478,2017-2018,All,Jharkhand,959918,495766,51.65,754716,78.62,769699,101.99,663471,87.91,160766,21.30,328910,43.58,661398,87.64,207443,27.49,53764,7.40,759132,9442,12.44
3479,2017-2018,All,Karnataka,1097374,867878,79.09,1104198,100.62,982036,88.94,893400,80.91,324705,29.41,827786,74.97,1150448,104.19,667722,60.47,256283,28.14,915244,10054,10.99
3480,2017-2018,All,Kerala,565673,470740,83.22,494655,87.45,466179,94.24,388221,78.48,11348,2.29,92338,18.67,392906,79.43,17928,3.62,184992,40.92,492964,2057,4.17
3481,2017-2018,All,Lakshadweep,1292,1030,79.72,1268,98.14,925,72.95,839,66.17,150,11.83,1146,90.38,1218,96.06,191,15.06,323,38.22,837,10,11.95
3482,2017-2018,All,Madhya Pradesh,1832836,1150609,62.78,1328819,72.50,1356694,102.10,1212188,91.22,387007,29.12,1422399,107.04,1699537,127.90,1099112,82.71,130143,10.40,1336337,22234,16.64
3483,2017-2018,All,Maharashtra,2180670,1559211,71.50,1825859,83.73,1443566,79.06,1294007,70.87,648685,35.53,1539293,84.31,1823041,99.85,909345,49.80,350799,20.14,1753959,16639,9.49
3484,2017-2018,All,Manipur,55807,34122,61.14,26465,47.42,37065,140.05,28533,107.81,7862,29.71,10347,39.10,25593,96.71,2588,9.78,7212,22.84,38577,181,4.69
3485,2017-2018,All,Meghalaya,131034,45048,34.38,56960,43.47,55039,96.63,44601,78.30,28233,49.57,25716,45.15,44512,78.15,12892,22.63,6592,13.90,83269,1796,21.57
3486,2017-2018,All,Mizoram,21582,16265,75.36,9547,44.24,14155,148.27,13642,142.89,6295,65.94,920,9.64,5193,54.39,1714,17.95,3120,17.93,19393,184,9.49
3487,2017-2018,All,Nagaland,37217,11064,29.73,6896,18.53,17746,257.34,11743,170.29,3124,45.30,1532,22.22,3405,49.38,649,9.41,2854,17.64,19697,351,17.82
3488,2017-2018,All,Odisha,739001,618078,83.64,564628,76.40,642026,113.71,618976,109.63,66138,11.71,190520,33.74,575304,101.89,255684,45.28,94348,16.15,608034,13734,22.59
3489,2017-2018,All,Puducherry,88665,29775,33.58,67830,76.50,20722,30.55,22272,32.84,1034,1.52,22385,33.00,21694,31.98,12179,17.96,14082,32.85,42529,486,11.43
3490,2017-2018,All,Punjab,464094,348865,75.17,338884,73.02,413560,122.04,397602,117.33,22750,6.71,115215,34.00,361150,106.57,105038,31.00,128490,35.43,371692,5392,14.51
3491,2017-2018,All,Rajasthan,1884090,1182552,62.77,401969,21.33,1119039,278.39,975111,242.58,605007,150.51,406192,101.05,956382,237.92,333581,82.99,147494,10.77,1383200,24815,17.94
3492,2017-2018,All,Sikkim,8925,6870,76.97,6430,72.04,6883,107.05,6515,101.32,911,14.17,5699,88.63,5956,92.63,3152,49.02,2163,29.92,7268,145,19.95
3493,2017-2018,All,Tamil Nadu,1022933,962639,94.11,935628,91.47,886111,94.71,848166,90.65,188533,20.15,339136,36.25,899497,96.14,363207,38.82,412180,45.63,904547,7205,7.97
3494,2017-2018,All,Telangana,1179409,557492,47.27,765826,64.93,732861,95.70,697446,91.07,135429,17.68,830748,108.48,1014134,132.42,176914,23.10,267781,45.13,636248,4273,6.72
3495,2017-2018,All,Tripura,75540,46022,60.92,39861,52.77,54571,136.90,48301,121.17,4832,12.12,2,0.01,29345,73.62,2003,5.02,11173,23.36,51166,958,18.72
3496,2017-2018,All,Uttarakhand,229256,139754,60.96,117335,51.18,178241,151.91,164544,140.23,27932,23.81,70978,60.49,107006,91.20,12342,10.52,16942,13.85,143959,1524,10.59
3497,2017-2018,All,Uttar Pradesh,5818739,2630412,45.21,2617628,44.99,4400399,168.11,3805712,145.39,1048719,40.06,1508133,57.61,4963399,189.61,636944,24.33,153015,5.19,3587660,48015,13.38
3498,2017-2018,All,West Bengal,1656977,1360476,82.11,1276085,77.01,1426216,111.76,1329609,104.19,139914,10.96,349917,27.42,1371678,107.49,892400,69.93,418363,33.04,1306391,21722,16.63
3499,2018-2019,April,Andhra Pradesh,74931,60759,81.09,69259,92.43,69818,100.81,64673,93.38,5131,7.41,44097,63.67,67299,97.17,23825,34.40,21474,34.86,61268,532,8.68
3501,2018-2019,April,Arunachal Pradesh,2874,1089,37.89,692,24.08,1876,271.10,1388,200.58,235,33.96,797,115.17,1014,146.53,357,51.59,228,18.05,1360,28,20.59
3502,2018-2019,April,Assam,60192,52926,87.93,37612,62.49,51970,138.17,44981,119.59,4736,12.59,13865,36.86,55633,147.91,14584,38.77,8001,22.64,39233,784,19.98
3503,2018-2019,April,Bihar,288419,189741,65.79,170909,59.26,160352,93.82,131293,76.82,98669,57.73,123425,72.22,174909,102.34,52097,30.48,3320,3.09,136585,1690,12.37
3504,2018-2019,April,Chandigarh,3919,3176,81.04,2481,63.31,2623,105.72,2041,82.27,673,27.13,2874,115.84,2848,114.79,1622,65.38,689,35.87,1899,55,28.96
3505,2018-2019,April,Chhattisgarh,49784,44802,89.99,41909,84.18,39894,95.19,36578,87.28,10118,24.14,37308,89.02,47209,112.65,32516,77.59,5446,14.45,37886,766,20.22
3508,2018-2019,April,Delhi,84240,30595,36.32,28288,33.58,28737,101.59,21690,76.68,3686,13.03,40660,143.74,41630,147.16,13126,46.40,5576,32.80,17649,336,19.04
3509,2018-2019,April,Goa,1999,1184,59.23,1169,58.48,860,73.57,700,59.88,141,12.06,1293,110.61,1303,111.46,554,47.39,656,44.03,1479,19,12.85
3510,2018-2019,April,Gujarat,111020,92261,83.10,91391,82.32,90351,98.86,74863,81.92,25170,27.54,104281,114.10,103458,113.20,83233,91.07,12656,14.72,83894,808,9.63
3511,2018-2019,April,Haryana,50183,36152,72.04,32930,65.62,36824,111.83,32703,99.31,13034,39.58,33470,101.64,33419,101.48,32189,97.75,5909,19.67,31464,551,17.51
3512,2018-2019,April,Himachal Pradesh,10579,9246,87.40,6183,58.45,7367,119.15,6319,102.20,2698,43.64,6419,103.82,7034,113.76,5716,92.45,1294,23.15,6237,91,14.59
3514,2018-2019,April,Jharkhand,78827,44104,55.95,58126,73.74,63022,108.42,50457,86.81,13176,22.67,39095,67.26,55687,95.80,19652,33.81,4358,8.00,57281,661,11.54
3515,2018-2019,April,Karnataka,95329,77450,81.24,90042,94.45,80767,89.70,73012,81.09,27414,30.45,80656,89.58,93402,103.73,66317,73.65,21352,29.26,72900,703,9.64
3516,2018-2019,April,Kerala,45444,39083,86.00,40229,88.52,38308,95.22,34816,86.54,1751,4.35,11766,29.25,36595,90.97,3190,7.93,16255,39.13,42131,171,4.06
3517,2018-2019,April,Lakshadweep,94,87,92.55,147,156.38,74,50.34,61,41.50,13,8.84,129,87.76,122,82.99,8,5.44,31,40.79,76,0,0.00
3518,2018-2019,April,Madhya Pradesh,164355,104300,63.46,108893,66.25,123352,113.28,91356,83.90,34500,31.68,128124,117.66,157063,144.24,95453,87.66,9196,11.09,87369,1571,17.98
3519,2018-2019,April,Maharashtra,170160,133241,78.30,148807,87.45,118568,79.68,103508,69.56,52928,35.57,136406,91.67,155729,104.65,88201,59.27,31929,22.72,141209,1286,9.11
3520,2018-2019,April,Manipur,5128,3135,61.13,2218,43.25,3294,148.51,2285,103.02,767,34.58,807,36.38,1676,75.56,157,7.08,534,22.55,2897,9,3.11
3521,2018-2019,April,Meghalaya,12060,3938,32.65,4239,35.15,5419,127.84,3695,87.17,2522,59.50,2595,61.22,4465,105.33,1573,37.11,473,13.18,6783,123,18.13
3522,2018-2019,April,Mizoram,1830,1354,73.99,757,41.37,1143,150.99,1020,134.74,519,68.56,66,8.72,399,52.71,125,16.51,240,17.43,1519,13,8.56
3523,2018-2019,April,Nagaland,3559,1048,29.45,616,17.31,1928,312.99,957,155.36,286,46.43,234,37.99,464,75.32,114,18.51,213,18.87,1464,24,16.39
3524,2018-2019,April,Odisha,64597,55202,85.46,47174,73.03,55696,118.07,50696,107.47,5186,10.99,14121,29.93,46671,98.93,25069,53.14,11248,20.72,55816,1117,20.01
3525,2018-2019,April,Puducherry,6799,2848,41.89,6070,89.28,1771,29.18,1922,31.66,267,4.40,1044,17.20,4855,79.98,882,14.53,1048,34.58,3006,42,13.97
3526,2018-2019,April,Punjab,41697,32526,78.01,26163,62.75,37272,142.46,36505,139.53,2116,8.09,9332,35.67,22997,87.90,10753,41.10,7873,36.58,22148,372,16.80
3527,2018-2019,April,Rajasthan,161814,108393,66.99,54342,33.58,98578,181.40,75899,139.67,51506,94.78,61068,112.38,68822,126.65,50583,93.08,9325,11.03,85536,1675,19.58
3528,2018-2019,April,Sikkim,918,639,69.61,471,51.31,692,146.92,612,129.94,76,16.14,656,139.28,666,141.40,432,91.72,179,35.17,506,15,29.64
3529,2018-2019,April,Tamil Nadu,90899,84759,93.25,82235,90.47,75334,91.61,71691,87.18,15307,18.61,37886,46.07,79947,97.22,37052,45.06,33483,46.75,71610,499,6.97
3530,2018-2019,April,Telangana,62752,41106,65.51,57236,91.21,59598,104.13,55486,96.94,7766,13.57,76903,134.36,90381,157.91,15907,27.79,24921,49.93,49153,202,4.11
3531,2018-2019,April,Tripura,6305,4122,65.38,3112,49.36,4906,157.65,4010,128.86,371,11.92,152,4.88,3262,104.82,213,6.84,881,24.22,3892,56,14.39
3532,2018-2019,April,Uttarakhand,20170,11902,59.01,9040,44.82,15095,166.98,12682,140.29,2107,23.31,8250,91.26,4580,50.66,1135,12.56,1348,15.20,10093,130,12.88
3533,2018-2019,April,Uttar Pradesh,397490,182124,45.82,199231,50.12,292971,147.05,213456,107.14,79200,39.75,114645,57.54,330656,165.97,48373,24.28,9824,5.83,197826,2390,12.08
3534,2018-2019,April,West Bengal,157553,137847,87.49,99451,63.12,139476,140.25,112588,113.21,13359,13.43,36563,36.76,116958,117.60,87009,87.49,33381,34.78,97828,1542,15.76
3535,2018-2019,May,Andhra Pradesh,68823,56098,81.51,67148,97.57,64472,96.01,69469,103.46,5276,7.86,43332,64.53,63454,94.50,25315,37.70,22685,35.05,64265,608,9.46
3537,2018-2019,May,Arunachal Pradesh,2967,1233,41.56,690,23.26,1972,285.80,1394,202.03,250,36.23,807,116.96,1201,174.06,368,53.33,197,18.50,1179,14,11.87
3538,2018-2019,May,Assam,63934,55417,86.68,40014,62.59,54440,136.05,48369,120.88,5085,12.71,20700,51.73,59100,147.70,16469,41.16,8545,24.50,38458,830,21.58
3539,2018-2019,May,Bihar,292723,194048,66.29,179989,61.49,161887,89.94,156406,86.90,99834,55.47,134064,74.48,188495,104.73,57639,32.02,3324,3.15,135339,1630,12.04
3540,2018-2019,May,Chandigarh,4193,3433,81.87,2913,69.47,2657,91.21,2234,76.69,648,22.25,3128,107.38,3112,106.83,1713,58.81,731,36.50,1980,55,27.78
3541,2018-2019,May,Chhattisgarh,50297,45650,90.76,44110,87.70,41141,93.27,38975,88.36,10850,24.60,38397,87.05,49556,112.35,34932,79.19,6109,16.61,37192,800,21.51
3544,2018-2019,May,Delhi,84302,31577,37.46,32581,38.65,29259,89.80,23450,71.97,3697,11.35,39031,119.80,39840,122.28,13473,41.35,5982,32.35,19295,368,19.07
3545,2018-2019,May,Goa,2104,1109,52.71,1092,51.90,867,79.40,753,68.96,153,14.01,1263,115.66,1282,117.40,295,27.01,544,40.84,1339,9,6.72
3546,2018-2019,May,Gujarat,108649,90831,83.60,90092,82.92,89566,99.42,78056,86.64,24787,27.51,102397,113.66,103543,114.93,84099,93.35,14510,15.24,93446,965,10.33
3547,2018-2019,May,Haryana,49642,36284,73.09,33108,66.69,36884,111.41,30940,93.45,11671,35.25,32526,98.24,32623,98.54,31937,96.46,5930,18.68,33340,593,17.79
3548,2018-2019,May,Himachal Pradesh,10380,9026,86.96,6531,62.92,7076,108.34,6970,106.72,2742,41.98,6873,105.24,7333,112.28,6429,98.44,1307,22.64,6427,95,14.78
3550,2018-2019,May,Jharkhand,76883,41990,54.62,59919,77.94,59631,99.52,54373,90.74,12183,20.33,51916,86.64,66350,110.73,18497,30.87,4195,7.73,56560,727,12.85
3551,2018-2019,May,Karnataka,95761,78266,81.73,92058,96.13,80007,86.91,74078,80.47,28075,30.50,82228,89.32,97337,105.73,68484,74.39,22779,30.23,75156,693,9.22
3552,2018-2019,May,Kerala,41689,35689,85.61,41825,100.33,38795,92.76,35742,85.46,1158,2.77,14009,33.49,38425,91.87,3761,8.99,17929,41.11,44746,202,4.51
3553,2018-2019,May,Lakshadweep,113,91,80.53,106,93.81,72,67.92,78,73.58,7,6.60,130,122.64,131,123.58,12,11.32,29,43.28,68,2,29.41
3554,2018-2019,May,Madhya Pradesh,163756,104218,63.64,114894,70.16,124025,107.95,112633,98.03,35093,30.54,134573,117.13,155275,135.15,100720,87.66,10172,10.73,100157,1845,18.42
3555,2018-2019,May,Maharashtra,163008,124777,76.55,146546,89.90,112188,76.55,103729,70.78,49700,33.91,135864,92.71,151783,103.57,86060,58.73,33119,23.35,142348,1297,9.11
