id,year,month,state,tot_no_pw_reg_anc,no_early_anc_register,early_anc_register,no_anc_4_or_more,anc_4_or_more,no_pw_given_tt1,pw_tt1_given,no_pw_given_tt2,pw_tt2_given,no_pw_given_tt_booster,pw_tt_booster_given,no_pw_given_calcium,pw_calcium,no_pw_given_ifa,pw_ifa,no_pw_given_albendazole,pw_albendazole,tot_c_section_deliveries,c_section_deliveries,tot_chld_born,tot_still_birth,per_still_birth
3256,2017-2018,October,Delhi,74171,20940,28.23,27056,36.48,18980,70.15,16034,59.26,2187,8.08,31902,117.91,35858,132.53,9707,35.88,7048,26.98,26684,509,19.08
3257,2017-2018,October,Goa,1932,1034,53.52,1559,80.69,878,56.32,720,46.18,165,10.58,1262,80.95,1261,80.89,429,27.52,684,41.28,1649,18,10.92
3258,2017-2018,October,Gujarat,107496,84542,78.65,83001,77.21,84366,101.64,95323,114.85,25893,31.20,103261,124.41,105799,127.47,78697,94.81,17789,15.80,117934,1076,9.12
3259,2017-2018,October,Haryana,37739,25711,68.13,34670,91.87,28626,82.57,28774,82.99,10452,30.15,33793,97.47,31012,89.45,29693,85.64,7910,16.05,52082,630,12.10
3260,2017-2018,October,Himachal Pradesh,8255,6984,84.60,6893,83.50,5670,82.26,5646,81.91,2367,34.34,5965,86.54,7396,107.30,4560,66.15,1667,21.91,8351,93,11.14
3262,2017-2018,October,Jharkhand,77510,39425,50.86,64307,82.97,62177,96.69,54793,85.21,12545,19.51,26040,40.49,51433,79.98,18801,29.24,4870,7.44,68181,836,12.26
3263,2017-2018,October,Karnataka,88160,70802,80.31,94656,107.37,81443,86.04,76544,80.87,26273,27.76,72632,76.73,105579,111.54,56842,60.05,21432,27.25,79163,833,10.52
3264,2017-2018,October,Kerala,54183,46163,85.20,46041,84.97,40871,88.77,35934,78.05,1284,2.79,8665,18.82,41292,89.69,1199,2.60,15908,39.40,46369,144,3.11
3265,2017-2018,October,Lakshadweep,119,93,78.15,108,90.76,89,82.41,94,87.04,16,14.81,114,105.56,114,105.56,18,16.67,30,36.59,81,0,0.00
3266,2017-2018,October,Madhya Pradesh,147312,92487,62.78,114484,77.72,109267,95.44,104705,91.46,30790,26.89,115251,100.67,138890,121.32,89827,78.46,12447,10.56,126399,2098,16.60
3267,2017-2018,October,Maharashtra,163695,117168,71.58,147799,90.29,111478,75.43,108882,73.67,48580,32.87,122281,82.73,140529,95.08,70179,47.48,32817,19.93,165861,1540,9.28
3268,2017-2018,October,Manipur,4810,2939,61.10,1923,39.98,3575,185.91,2876,149.56,667,34.69,690,35.88,2156,112.12,254,13.21,657,21.44,3709,21,5.66
3269,2017-2018,October,Meghalaya,11364,3894,34.27,5551,48.85,4883,87.97,4256,76.67,2676,48.21,2216,39.92,4145,74.67,1375,24.77,646,15.38,7329,172,23.47
3270,2017-2018,October,Mizoram,1738,1301,74.86,972,55.93,1005,103.40,1013,104.22,498,51.23,62,6.38,631,64.92,164,16.87,297,18.55,1757,14,7.97
3271,2017-2018,October,Nagaland,3242,867,26.74,880,27.14,1570,178.41,1153,131.02,321,36.48,211,23.98,347,39.43,64,7.27,298,17.98,1982,47,23.71
3272,2017-2018,October,Odisha,60431,51216,84.75,48233,79.81,51505,106.78,54517,113.03,4966,10.30,21550,44.68,49952,103.56,25161,52.17,8424,15.96,54731,1277,23.33
3273,2017-2018,October,Puducherry,6825,2283,33.45,5398,79.09,1470,27.23,1687,31.25,96,1.78,2140,39.64,1845,34.18,871,16.14,1412,34.82,4030,36,8.93
3274,2017-2018,October,Punjab,29212,20941,71.69,29890,102.32,26000,86.99,29748,99.52,1777,5.95,10713,35.84,32712,109.44,8820,29.51,12560,34.16,37703,550,14.59
3275,2017-2018,October,Rajasthan,129503,80270,61.98,25579,19.75,77638,303.52,73576,287.64,40234,157.29,19893,77.77,72030,281.60,17106,66.88,13589,10.50,130366,2317,17.77
3276,2017-2018,October,Sikkim,659,515,78.15,526,79.82,511,97.15,514,97.72,67,12.74,594,112.93,614,116.73,287,54.56,248,36.10,693,11,15.87
3277,2017-2018,October,Tamil Nadu,81435,76823,94.34,74826,91.88,70378,94.06,67747,90.54,14970,20.01,25482,34.06,73697,98.49,28098,37.55,38689,46.38,83320,608,7.30
3278,2017-2018,October,Telangana,95426,48298,50.61,65265,68.39,61739,94.60,57199,87.64,11464,17.57,70873,108.59,82907,127.03,17927,27.47,24445,43.98,60229,320,5.31
3279,2017-2018,October,Tripura,5821,3577,61.45,3497,60.08,4295,122.82,4070,116.39,411,11.75,0,0.00,2313,66.14,193,5.52,978,21.62,4808,101,21.01
3280,2017-2018,October,Uttarakhand,15526,9426,60.71,9128,58.79,12476,136.68,12795,140.17,2069,22.67,5958,65.27,6707,73.48,819,8.97,1359,12.82,12569,125,9.95
3281,2017-2018,October,Uttar Pradesh,497424,217061,43.64,236120,47.47,384388,162.79,329232,139.43,93246,39.49,157703,66.79,403637,170.95,55922,23.68,12583,4.52,341084,4470,13.11
3282,2017-2018,October,West Bengal,125119,101318,80.98,117885,94.22,107409,91.11,105315,89.34,10287,8.73,28230,23.95,116398,98.74,74881,63.52,39187,32.51,125135,2120,16.94
3283,2017-2018,November,Andhra Pradesh,72773,57582,79.13,69901,96.05,66427,95.03,64844,92.77,5668,8.11,43786,62.64,72348,103.50,19702,28.19,20833,31.02,69128,596,8.62
